the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.024595285968 30.025278143098),380925,"FAST STOP OF DOWNMAN,LLC",FAST STOP,7200 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.085226895461 29.980645150829),381129,"TERRANOVA, BENJAMIN A",TERRANOVA BROS SUPERETTE,3308 ESPLANADE AVE,,NEW ORLEANS,LA,70119-3132,,1101 - CONVENIENCE STORES
POINT (-89.912066147199 30.039183783686),380990,THU HUONG INC,LY'S SUPERMARKET,14401 PELTIER DR,130,NEW ORLEANS,LA,70129,504-254-4380,1101 - CONVENIENCE STORES
POINT (-90.112623134571 29.92058137995),380944,"MATHERNE JR, MARVIN",GUY'S FOOD STORE,5259 MAGAZINE ST,,NEW ORLEANS,LA,70115-1851,504-891-5025,1101 - CONVENIENCE STORES
POINT (-90.042646757267 29.967101679825),380871,"VU & SONS, LLC",CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.08774928797 29.965515303894),380867,VIENNE ENTERPRISE LLC,CANAL MART & EATERY,2700 CANAL ST,A,NEW ORLEANS,LA,70119,504-821-7730,1101 - CONVENIENCE STORES
POINT (-90.052872637713 29.968701486321),381099,"SHANK SHOP, LLC",SHANK CHARCUTERIE,2352 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS
POINT (-90.016879628305 29.961722425935),381115,MARK NGUYEN,ST. MAURICE GROCERY,5467 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-000-0000,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076440640472 29.929661233979),380962,"O D S, LLC",JEWEL'S FOOD STORE,2136 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-524-9355,1101 - CONVENIENCE STORES
POINT (-90.08145905493 29.962423706075),380937,"GALVEZ FOOD STORE, INC.",GALVEZ FOOD STORE,120 N GALVEZ ST,,NEW ORLEANS,LA,70119,504-304-6035,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.116704704989 29.926626736056),380992,M LANGENSTEIN & SONS INC,M LANGENSTEIN & SONS INC,1330 ARABELLA ST,,NEW ORLEANS,LA,70115-4205,504-899-5001,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.07532784664 29.965989087219),381060,"R&B GROCERY, LLC",R&B GROCERY,1921 ORLEANS AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381080,RANDOLPH THOMAS,RT ONE SHOP,1242 GORDON STREET,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-89.992314528295 30.02847564279),380899,DALYA LLC,CROWDER CENTER,5769 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-241-6555,1101 - CONVENIENCE STORES
POINT (-90.090573356516 29.933201095767),381148,"UPTOWN FOOD MARKET, INC",UPTOWN FOOD MARKET,2001 SEVENTH ST,,NEW ORLEANS,LA,70115,504-555-1234,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.052082721172 29.946698174992),380816,"ALGIERS CENTRAL,INC",ALGIERS CENTRAL MARKET,840 TECHE ST,,NEW ORLEANS,LA,70114,504-366-3221,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.096031144406 29.937276218218),380969,MAZIN INC,KEY FOOD STORE,2600 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-897-6514,1101 - CONVENIENCE STORES
POINT (-90.064811286358 29.98138426885),381067,SUNSHINE DISCOUNT FOOD INC,RICHARD'S FOOD STORE,2001 N ROCHEBLAVE ST,,NEW ORLEANS,LA,70119,504-944-2891,1101 - CONVENIENCE STORES
POINT (-90.061175279022 29.96209733698),381152,"THE VERTI MARTE, INC",VERTI MARTE INC,1201 ROYAL ST,,NEW ORLEANS,LA,70116,504-525-4767,1101 - CONVENIENCE STORES
POINT (-90.05065667633 30.012550600808),380949,MARAH LLC,HAPPY DISCOUNT,5301 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
POINT (-90.089237394851 29.944319676401),380961,JACKSON FOOD STORE INC.,JACKSON FOOD STORE,2801 JACKSON AVE,,NEW ORLEANS,LA,70113,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.118667263273 29.941047550523),380858,SODEXO MANAGEMENT INC,BRUFF STUFF,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5293,1101 - CONVENIENCE STORES
POINT (-90.132402986615 29.935202377356),381102,"NGU CORPORATION         NGUYEN, MAN V",SINGLETON MINI MART,7446 GARFIELD ST,,NEW ORLEANS,LA,70118,504-866-4741,1101 - CONVENIENCE STORES
POINT (-90.0400759319 29.944971979583),380982,LAWSONS GROCERY & DELI  INC,LAWSON'S GROCERY & DELI,1625 NEWTON ST,,NEW ORLEANS,LA,70114-2604,504-368-4958,1101 - CONVENIENCE STORES
POINT (-90.04158844227 29.929638574716),381030,"NOLA DISCOUNT, INC",NOLA DISCOUNT FOOD STORE,2204 L B LANDRY AVE,,NEW ORLEANS,LA,70114,,1101 - CONVENIENCE STORES
POINT (-90.073017894238 29.992885183192),380988,TIEN VIET VU,LUCY'S SUPERMARKET,3443 PARIS AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.105419636393 30.005017634301),380977,"HARRISON FRESH MARKET, LLC",LAKEVIEW GROCERY,801 HARRISON AVE,,NEW ORLEANS,LA,70124,504-207-0162,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),380905,"WILLIAMS, WILLIE JR",DAP MINISTRIES OUTLET,1234 PRESS DR,,NEW ORLEANS,LA,70117,,"1501 - DURABLE GOODS WHLSRS, OTHER MISC"
POINT (-90.027092734627 30.032274434875),381109,COMPAK DELI INC,SPEED RACER,8020 DOWNMAN RD,104,NEW ORLEANS,LA,70126,504-248-2005,1101 - CONVENIENCE STORES
POINT (-90.099718212342 29.940895179154),380966,K & T COMMUNITY INC.,K & T COMMUNITY,3733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-822-8915,1101 - CONVENIENCE STORES
POINT (-89.981250612467 30.014991441964),381104,SOHANA GROCERY STORE LLC,SOHANA GROCERY,8900 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,,1101 - CONVENIENCE STORES
POINT (-90.061051429526 29.958835382612),380875,CENTRAL GROCERY CO. LLC,CENTRAL GROCERY CO.,923 DECATUR ST,,NEW ORLEANS,LA,70116,504-523-1620,1101 - CONVENIENCE STORES
POINT (-89.961730828006 30.047884086461),380853,BULLARD BROTHERS NO 127 LLC,BROTHERS FOOD MART NO 127,7001 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES
POINT (-90.084936422734 29.93863354083),380880,"CHICKEN MART, INC",CHICKEN MART,2200 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-522-8893,1103 - MEAT MARKETS
POINT (-89.912354762202 30.037779631289),381047,PEREZ GROCERY LLC,PEREZ GROCERY #2,4668 ALCEE FORTIER BLVD,A,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.042603784029 29.963946443834),380930,"FRADY, JOSEPH M",FRADY'S ONE STOP FOOD STORE,3231 DAUPHINE ST,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
POINT (-90.072160567787 29.966119283395),381151,THONG SINH INC,V & T FOOD STORE,913 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-827-9997,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.087191811039 29.932805949004),381027,"NEXT DOOR GROCERY,LLC",NEXT DOOR GROCERY,2733 BARONNE ST,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.090395375508 29.958770739886),380954,"MILAND SEAFOOD, INC",INLAND SEAFOOD,2527 PERDIDO ST,,NEW ORLEANS,LA,70119,504-821-4500,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.108479443221 29.924484284776),381132,"CREOLE CONES, INC",THE CREOLE CREAMERY,4924 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-885-7028,1101 - CONVENIENCE STORES
POINT (-90.091631734139 29.929169182979),380987,"AMERA,INC",LOUISIANA SUPER SAVER,1641 LOUISIANA AVE,A,NEW ORLEANS,LA,70115,504-891-6670,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.959536188257 30.02103640939),380877,"AMA DISCOUNT, INC",CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-329-8179,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.038217741155 29.977338645439),381051,POPPA ENTERPRISES,POPPA'S SEAFOOD & DELI,3311 N GALVEZ ST,,NEW ORLEANS,LA,70117,504-947-3373,1104 - FISH & SEAFOOD MARKETS
POINT (-90.078678605529 29.942374717289),380959,"JACK & JAKES PUBLIC MARKET,LLC",JACK & JAKES,1307 ORETHA CASTLE HALEY BLVD,200,NEW ORLEANS,LA,70113,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381139,TOMMY'S SEAFOOD INC,TOMMY'S BLUE CRAB,2103 PARIS RD,1452,NEW ORLEANS,LA,70129,,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.042394239961 29.945398866128),381026,LIEM & TEIN PARTNERSHIP,NEWTON DISCOUNT MARKET,1424 NEWTON ST,,NEW ORLEANS,LA,70114,504-368-3692,1101 - CONVENIENCE STORES
POINT (-90.018529134678 29.92403131143),380847,"EXXON GENERAL DEGAULLE, LLC",BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
POINT (-90.059022777866 29.973014039773),381120,SUNSHINE FOOD MARKET INC,SUNSHINE FOOD MARKET,2020 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-304-6135,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.040495089397 29.945326564599),381025,"KHP,LLC",NEWTON CORNER MART,1600 NEWTON ST,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381105,SHAWNTELL MANUEL,SOUL FOOD CUSINE EXPRESS,3146 GEN MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.101526277026 29.951966448953),381081,RUSTYS POBOY SEAFOOD INC,RUSTY'S POBOY SEAFOOD,4122 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-821-1771,1101 - CONVENIENCE STORES
POINT (-90.118667263273 29.941047550523),381143,SODEXO MANAGEMENT INC,TULANE CATERING,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5254,1101 - CONVENIENCE STORES
POINT (-90.064759399398 29.941956775949),381015,"N'AWLINS GOODS, LLC",N'AWLINS GOODS,901 CONVENTION CENTER BLVD,STE 114,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.065095800655 29.95085973894),381039,OMNI LLC,OMNI LLC,333 CANAL ST,STE 333,NEW ORLEANS,LA,70130,814-521-9012,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),381114,LUCERO MORAN ENTERPRISES LLC,ST. LOUIS MARKET,730 ST. LOUIS STREET,,NEW ORLEANS,LA,70130,504-451-6811,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.033864631369 29.964517456049),381142,ROBERT H LUTZ,TRY ME COFFEE MILLS,1014 FRANCE ST,,NEW ORLEANS,LA,70117-5331,504-945-4314,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.07338263653 29.925467088509),381125,"JOE KIND SUPERMARKET, INC",T & T SEAFOOD,548 JACKSON AVE,,NEW ORLEANS,LA,70130,,1104 - FISH & SEAFOOD MARKETS
POINT (-90.054206857653 30.028183997923),381078,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #35(GENTILLY),6600 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.07722986226 29.96725599215),380866,CAJUN ORLEANS LLC,CAJUN WILLS,2127 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-821-6386,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.094224292105 29.933558016896),380986,LOUISIANA MEAT LLC,LOUISIANA MEAT MARKET,2136 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-259-3651,1101 - CONVENIENCE STORES
POINT (-90.079494249603 29.935275926109),381065,"THUMBS UP RACE SEVEN, LLC.",RED ZONE I,2025 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),381024,"NEW ORLEANS FOOD CO-OP,INC",NEW ORLEANS FOOD CO-OP,2372 ST. CLAUDE AVENUE,STE. 110,NEW ORLEANS,LA,70117,504-324-6849,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.117321255614 30.005890747715),380978,"TWO-O-SEVEN, LLC",LAKEVIEW MINI MART,207 W HARRISON AVE,,NEW ORLEANS,LA,70124,504-872-0522,1101 - CONVENIENCE STORES
POINT (-90.096821081852 29.976576256069),381076,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #29(CARROLLTON),400 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.09943177962 29.95008058892),380814,"ZEYNA, LLC",AEREN'S SUPERMARKET,3911 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-302-9875,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.087055167956 29.949597786144),380872,CAPT JOHNNY SMITH WHLS LLC,CART JOHNNY SMITH WHLS LLC,2920 EARHART BLVD,,NEW ORLEANS,LA,70125,504-524-4196,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.08133661069 29.972096466228),380994,FRANK'S DISCOUNT LLC,MAGNOLIA MEAT MARKET,900 N BROAD ST,,NEW ORLEANS,LA,70119,504-827-1281,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.067265019659 29.958663918945),381140,"BAHU, INC",TOULOUSE HOUSE,605 DAUPHINE ST,,NEW ORLEANS,LA,70112,504-529-4270,1101 - CONVENIENCE STORES
POINT (-90.060515488174 29.971478210219),380809,"7TH WARD FOOD MART,LLC",7TH WARD FOOD MART,2101 PAUGER ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
POINT (-90.072153981133 29.954910959124),380832,"MAGNOLIA ENTERPRISES, INC.",BAYOU GIFTS,1000 CANAL ST,,NEW ORLEANS,LA,70130,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.076989294557 29.951922709288),380931,SIX BROTHERS LLC,FRANCE MEAT MARKET,1339 FRANCE ST,,NEW ORLEANS,LA,70117,504-949-2407,1103 - MEAT MARKETS
POINT (-90.092497049691 29.917981261005),381117,STOCK POT LLC (THE),STOCK POT LLC (THE),3701 TCHOUPITOULAS ST,STE D,NEW ORLEANS,LA,70115-1339,504-897-9192,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.068459565509 29.952451187846),380908,DEEP SOUTH GROCERY CO   INC,DEEP SOUTH TRADING CO,600 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
POINT (-89.984049667321 29.923220297258),380834,"BENN, KERMIT",BENNS GROCERY,6445 ISADORE ST,,NEW ORLEANS,LA,70131,504-394-5800,1101 - CONVENIENCE STORES
POINT (-90.061834922165 30.023425087106),380918,"M & S  OIL SERVICES, L.L.C.",ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES
POINT (-90.008742662016 29.964337231061),380996,ALZARA INC,MAGNOLIA SUPERMARKET,6100 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-628-6781,1101 - CONVENIENCE STORES
POINT (-90.096278156115 29.96418221119),380967,"K & T FOOD STORE, INC",K & T FOOD STORE,3204 TULANE AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
POINT (-90.090938483475 29.928187510743),381134,"THE FRESH MARKET, INC",THE FRESH MARKET,3338 ST CHARLES AVE,,NEW ORLEANS,LA,70118,336-217-4077,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.076989294557 29.951922709288),381023,NEW ORLEANS FISH HOUSE L,NEW ORLEANS FISH HOUSE LLC,P.O BOX 4125,,NEW ORLEANS,LA,70176,504-821-9700,0135 - FISH & SEAFOOD WHLSRS
POINT (-90.017980287212 30.011817840163),381082,S & I FOOD STORE INC,S & I FOOD STORE,4350 STEMWAY DR,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
POINT (-90.076989294557 29.951922709288),380971,"MLT ENTERPRISES,INC",KING SUPERMARKET,1135 SAINT BERNARD AVE,,NEW ORLEANS,LA,70116,504-782-7639,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.079161074226 29.944684686488),380915,"2000 EARHART BOULEVARD,LLC",EARHART 169,2000 EARHART BLVD,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
POINT (-90.06746963407 29.950841421164),381059,R & E MAGAZINE,R & E MAGAZINE,212 MAGAZINE ST,A,NEW ORLEANS,LA,70130,,"1169 - MISC STORE RTLERS (EX TOBAC), ALL OTH"
POINT (-90.073245971962 29.964687933828),380855,FATHER 4 SONS LLC,BROWN DERBY,755 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381123,"BEVO VINO, LLC",SWIRL,3141 3143 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,504-304-0635,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-89.97762350639 30.03850855821),380864,"CAJUN SEAFOOD #4,LLC",CAJUN SEAFOOD #4,7020 READ BLVD,,NEW ORLEANS,LA,70127,504-241-1396,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.123197589996 29.962114347706),381005,"MCKENZIE FOOD STORE,INC",MCKENZIE FOOD STORE,8638 BELFAST ST,,NEW ORLEANS,LA,70118,504-866-4970,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.020639725897 29.925316567452),381097,SEAFOOD ZONE LLC,SEAFOOD ZONE,3600 MACARTHUR BLVD,STE:M,NEW ORLEANS,LA,70114,504-367-0550,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-89.927778207906 30.032576046553),381004,VINA FOOD INC.,MATT'S GROCERY 2,4655 MICHOUD BLVD,,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.076989294557 29.951922709288),381160,"WE SERV,LLC",WE SERV FOOD STORE,3319 N N GALVEZ ST,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.079356799319 29.968677610168),380860,ABUALI FADI A,BUSY BEE FOOD STORE,2401 ORLEANS AVE,A,NEW ORLEANS,LA,70119-5027,504-821-5586,1101 - CONVENIENCE STORES
POINT (-89.959491208141 30.045109414722),381036,NS DISCOUNT EXPRESS LLC,NS DISCOUNT EXPRESS,6041 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES
POINT (-89.990869842431 30.014069683334),381085,HALLA GROUP LLC.,SAM'S FOOD & LIQUOR,8201 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-610-7012,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.117647833343 29.920834215075),381163,"WHOLE FOOD COMPANY, INC",WHOLE FOODS MARKET,5600 MAGAZINE ST,,NEW ORLEANS,LA,70115,000-899-9119,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.066808496323 29.929229796583),380825,"AZ EXPRESS,LLC",AZ EXPRESS,1667 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
POINT (-90.019215416948 29.961809584525),381112,"RAED 5330,LLC",ST CLAUDE FRESH MARKET,5330 ST CLAUDE AVE,UNIT A,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.068562777066 29.953152671905),380897,MAGNOLIA ENTERPRISES INC,CREOLE SUPERSTORE,623 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,1101 - CONVENIENCE STORES
POINT (-90.070761844304 29.952739693869),380851,"148 CARONDELET STREET,LLC",BROTHERS FOOD MART 109,148 CARONDELET ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.086909092936 29.957317578609),380819,"ALLIANCE SUPPLY MANGEMENT, LTD","ALLIANCE SUPPLY MANGEMENT, LTD",555 S GALVEZ ST,,NEW ORLEANS,LA,70119,713-335-2500,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.019098048155 29.92525007302),381089,"MORAN FOODS, LLC",SAVE A LOT #378-5434,3640 MACARTHUR BLVD,,NEW ORLEANS,LA,70114,504-362-5036,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.124214245798 29.967202643521),380895,JUDEH SUHAD,COYE FOOD STORE,9103 FIG ST,,NEW ORLEANS,LA,70118,504-828-7921,1101 - CONVENIENCE STORES
POINT (-90.110647659927 29.967936655128),380893,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 1147,3900 DUBLIN ST,,NEW ORLEANS,LA,70118,425-313-8100,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
POINT (-90.104075543615 29.968764171495),381087,"SALOMON, ELGIN",SANDWICH SHOP,645 S PIERCE ST,,NEW ORLEANS,LA,70119,504-482-3295,1101 - CONVENIENCE STORES
